,id,text,created_at,user,username,user_id,user_location,user_followers,user_following,user_verified,user_tweets_count,user_created_at
196,1540567831795875841,RT @refs4me: #betfury is one of the top #bitcoin casinos - You can get daily #cash back simply holding #bfgtoken in your account wallet.  #…,Sat Jun 25 05:29:28 +0000 2022,OBiCAL,iamobical,1255767313888030721,Hip Hop/Rap,195,172,False,222,Thu Apr 30 07:54:17 +0000 2020
197,1540567829941932032,@WHALEGEMS1000X @AltGemHunter @PeakyInu @1goonrich @AltCryptoGems Follow @Inv016 For best bitcoin charts n Updates,Sat Jun 25 05:29:27 +0000 2022,Bellybella,Bellybellaster,1516125021416026112,,53,918,False,44,Mon Apr 18 18:42:39 +0000 2022
198,1540567822040014848,#Bitcoin soon 😎 https://t.co/XKkgc3nN5H,Sat Jun 25 05:29:25 +0000 2022,Foxy Cuddler,foxycuddels,1227346800526417922,,44264,180,False,1222,Tue Feb 11 21:41:57 +0000 2020
199,1540567818651193344,"RT @KapitalDAO: Peter Brandt predicted 2018's crypto winter. If #Bitcoin doesn't reach $32,000, he says it might fall below $13,000.  Brand…",Sat Jun 25 05:29:24 +0000 2022,alter ego,crayush7op,1494962944278339584,,12,103,False,308,Sat Feb 19 09:12:04 +0000 2022
200,1540567815509676032,@AltGemHunter @Starbots_game @PeakyInu PeakyInu  TO the  fucking koon @1goonrich @AltCryptoGems  #Peakyinu… https://t.co/6EFOLHsE5o,Sat Jun 25 05:29:24 +0000 2022,WHALE GEMS,WHALEGEMS1000X,1522770556717867008,,57,39,False,108,Sat May 07 02:49:36 +0000 2022
201,1540567800435064832,Bitcoin gearing up for some move imo,Sat Jun 25 05:29:20 +0000 2022,Commander Seabass ⬡,StrictlySeabass,1283878147549622272,The Sea,219,399,False,3023,Thu Jul 16 21:36:40 +0000 2020
202,1540567796970430465,RT @BTC_Archive: 💥BINANCE CEO: The number one value of #Bitcoin is that it has a limited supply.,Sat Jun 25 05:29:19 +0000 2022,🇮🇩 🇦🇺 ₿ ₳ Ⓥ 🟣 wendysa.btc,wendysa85396804,1105092959584706560,Bali  Island (GMT+8),974,4987,False,51362,Mon Mar 11 13:07:48 +0000 2019
203,1540567794714017792,Success is not always what you see. @MauriceHoefgen  #Bitcoin https://t.co/6F5BEcTQWf,Sat Jun 25 05:29:19 +0000 2022,Henry Jackson,hnryjksn,1501948475746836492,Emskirchen ,390,533,False,805,Thu Mar 10 15:50:19 +0000 2022
204,1540567790406565888,"RT @HEXcryptoo: 🚨 https://t.co/0Uw8WEaGXg is here! For all HEX holders, we've launched a big community AirDrop.  🔥The more you hold, the mo…",Sat Jun 25 05:29:18 +0000 2022,arif rashdi,gamaerzz,852718512,,36,133,False,934,Sat Sep 29 11:46:33 +0000 2012
205,1540567788376526848,RT @refs4me: #adsterra is one of the top #advertising networks and allows you to buy ads on tens of thousands of sites.  Earn #bitcoin and…,Sat Jun 25 05:29:17 +0000 2022,OBiCAL,iamobical,1255767313888030721,Hip Hop/Rap,195,172,False,222,Thu Apr 30 07:54:17 +0000 2020
206,1540567786631888896,@CutieBabeGem15 @PeakyInu PeakyInu  TO the  fucking koon @1goonrich @AltCryptoGems  #Peakyinu #peakygem… https://t.co/VSTvPVOf7V,Sat Jun 25 05:29:17 +0000 2022,WHALE GEMS,WHALEGEMS1000X,1522770556717867008,,57,39,False,108,Sat May 07 02:49:36 +0000 2022
207,1540567783989137408,@Chris01225 @Ken72301226 @RobertKalish @VitalikButerin @songadaymann Follow @Inv016 For best bitcoin charts n Updates,Sat Jun 25 05:29:16 +0000 2022,Bellybella,Bellybellaster,1516125021416026112,,53,918,False,44,Mon Apr 18 18:42:39 +0000 2022
208,1540567783737524224,"RT @Rhian_Pw: Buy #Bitcoin, you will thank me 3 years from now.",Sat Jun 25 05:29:16 +0000 2022,Dobie_Superface,Dobie_Superface,1489352571995230209,,95,154,False,651,Thu Feb 03 21:38:36 +0000 2022
209,1540567783397793792,"RT @DarinFeinstein: Transaction Fee FUD  The #Bitcoin Network is performing as designed  #Bitcoin tsx fees  2011 $29,960 2012 $64,400 2013…",Sat Jun 25 05:29:16 +0000 2022,Especulator,StackGratefully,1252453223673274368,Bitcoin Citizen,148,1278,False,2315,Tue Apr 21 04:25:49 +0000 2020
210,1540567782164762624,Ethereum will FLIP Bitcoin   CARDANO to be #1 Crypto! https://t.co/e4WPWlbLDS,Sat Jun 25 05:29:16 +0000 2022,⚡Buy #Bitcoin & Chill ⚡,usd2btc,912174747416330240,Decentralized,1301,1804,False,65927,Mon Sep 25 04:39:41 +0000 2017
211,1540567778729627648,#Bitcoin is not confirming it's movement right now if it touches 22k it's gonna pump hardly and atm 21.1k is reject… https://t.co/w7pwRP9zg7,Sat Jun 25 05:29:15 +0000 2022,Sherdill,SherdillMalik,148806204,اسلامی ریاست پاکستان,1016,27,False,46856,Thu May 27 17:06:09 +0000 2010
212,1540567774770401281,RT @turaxtoken: Take part info  our #Airdrop  Our listing iş coming soon. In July! Get ahead of everyone and earn some tokens. #Turax #Cryp…,Sat Jun 25 05:29:14 +0000 2022,Spurtualis_0x ■□ 🤪,Spurtualis_0x,1414909207833243657,Pickaw,102,1774,False,9105,Tue Jul 13 11:27:46 +0000 2021
213,1540567769560776705,Pretty much nothing in the news about this. I guess they don't want to give anyone any ideas now that it's spreadin… https://t.co/UroScC7svP,Sat Jun 25 05:29:13 +0000 2022,⚡TheDemonsNameIsSurveillance,BitcoinDemiurge,1422853259853717505,Citadel,420,692,False,706,Wed Aug 04 09:34:07 +0000 2021
